Episode,Name,Sentence
Episode 8,tyrion lannister,And how do I know you haven't killed her already?
Episode 8,cersei lannister,"Would you like to see her? I thought you might. Ser Mandon, bring in my brother's whore."
Episode 8,tyrion lannister,I'm sorry they hurt you. You must be brave.
Episode 8,tyrion lannister,I promise I will free you.
Episode 8,tyrion lannister,Never.
Episode 8,tyrion lannister,"I will hurt you for this. A day will come when you think you're safe and happy, and your joy will turn to ashes in your mouth. And you will know the debt is paid."
Episode 8,cersei lannister,Get out.
Episode 8,tyrion lannister,Shae!
Episode 8,tyrion lannister,You're beautiful.
Episode 8,tyrion lannister,We have to be more careful.
Episode 8,tyrion lannister,There are people who want to hurt me.
Episode 8,tyrion lannister,I would kill for you. Do you know that? I expect I'll have to before this is over. You're mine.
Episode 8,tyrion lannister,Promise me.
Episode 8,robb stark,Still no word?
Episode 8,robb stark,Theon has my brothers. If we storm the castle
Episode 8,robb stark,Send word to your son. Any Ironborn who surrender will be allowed to return safely to their homes.
Episode 8,robb stark,Any Ironborn with the exception of Theon Greyjoy. He betrayed our cause. He betrayed me. And we will hunt him down no matter where he runs.
Episode 8,robb stark,How am I? I've had to arrest my mother. The Lannisters have my sisters. The man I considered my closest friend has seized my home and my brothers. I'm fighting a war and I don't know if I should march south or north.
Episode 8,robb stark,No. Forgive me. You're being kind. I have no right.
Episode 8,robb stark,That's not the kind of king I want to be.
Episode 8,robb stark,I don't know. The good kind. Most kings grew up as princes. They spend their whole lives preparing for the crown. I was raised to be Lord of Winterfell.
Episode 8,robb stark,I'd like to hear you play the harp.
Episode 8,robb stark,How did you go from reciting Valyrian poetry to sawing off men's feet?
Episode 8,robb stark,I don't want to marry the Frey girl.
Episode 8,arya stark,Shut up. What did you bring?
Episode 8,arya stark,"He didn't say. He just said, ""Walk through the gates."""
Episode 8,arya stark,He didn't say anything about the guards.
Episode 8,arya stark,We have to trust him.
Episode 8,arya stark,Shut up. Stay here if you're afraid.
Episode 8,davos,"If the wind holds, we'll reach King's Landing in a day."
Episode 8,stannis baratheon,Will it hold?
Episode 8,davos,"Can't make promises for the wind, Your Grace."
Episode 8,stannis baratheon,"I admire you, Ser Davos."
Episode 8,davos,"I thank you, Your Grace."
Episode 8,stannis baratheon,"Pleased to hear it. Some highborn fools call you Onion Knight and think they insult you. So you take the onion for your sigil, sew it on your coat, fly the onion flag."
Episode 8,davos,"My son wishes me to change it. Three mermen with tridents, something like that. I understand why the older families look down at me."
Episode 8,stannis baratheon,Do you? Why?
Episode 8,davos,My father was a crabber.
Episode 8,stannis baratheon,And?
Episode 8,davos,"Well, sons of lords don't like to break bread with sons of crabbers. Our hands stink."
Episode 8,stannis baratheon,And where were those lords when Storm's End starved?
Episode 8,davos,Many fought bravely for your brother. Many fought for the Mad King.
Episode 8,stannis baratheon,You defend these men who insult you behind your back.
Episode 8,davos,Some are happy to do it to my face.
Episode 8,stannis baratheon,"We were forgotten. Robert and Ned Stark, they were the heroes. The glorious rebels marching from battle to battle, liberating towns from the yoke of the Mad King, while I held Storm's End with five hundred men."
Episode 8,davos,"No one has forgotten, Your Grace."
Episode 8,stannis baratheon,No? Robert did. He gave Storm's End to Renly after the war. Renly never fought a day in his life.
Episode 8,davos,He was only a boy.
Episode 8,stannis baratheon,Then why'd he give him Storm's End?
Episode 8,stannis baratheon,"First, we ate the horses. We weren't riding anywhere, not with the castle surrounded. We couldn't feed them, so fine, the horses. Then the cats. Never liked cats. So fine. I do like dogs. Good animals. Loyal. But we ate them. Then the rats. The night before you slipped through, I thought my wife was dying. She couldn't speak anymore, she was so frail. And then you made it through the lines. Slipped right through in your little black sailboat with your onions."
Episode 8,davos,"And potatoes. Some salted beef, I believe."
Episode 8,stannis baratheon,Every man in Storm's End wanted to kiss you that night.
Episode 8,davos,I was relieved they did not.
Episode 8,stannis baratheon,"Robert told me to hold Storm's End, so I held it. Then he told me he was giving it to Renly, so I gave it up. Insult or no, I gave it up. Because Robert was my older brother, and he was the king and I've always done my duty. But now, I'm the rightful king by every law of Westeros. And when I sit the Iron Throne, you'll be my Hand."
Episode 8,davos,"Your Grace, I pray I serve you well."
Episode 8,stannis baratheon,I expect you'll be the first crabber's son to wear the badge.
Episode 8,varys,"No man can be in all rooms at all times. I have many little birds in the North, my lord, but I haven't heard their songs since Theon Greyjoy captured Winterfell."
Episode 8,tyrion lannister,"To strike? My dear nephew, you do see these men preparing the walls for siege? You do understand Stannis Baratheon sails this way?"
Episode 8,tyrion lannister,"A brave choice, Your Grace. I'm sure your men will line up behind you."
Episode 8,tyrion lannister,Imagine Stannis' terror.
Episode 8,varys,I am trying.
Episode 8,tyrion lannister,You're an intelligent man. I'd like to think I'm an intelligent man.
Episode 8,varys,"Oh, no one disputes that, my lord, not even the multitudes who despise you."
Episode 8,tyrion lannister,"I wish we could converse as two honest, intelligent men."
Episode 8,varys,"I wish we could, too."
Episode 8,tyrion lannister,What do you want? Tell me.
Episode 8,varys,"If we're going to play, you'll have to start."
Episode 8,tyrion lannister,"My brother was the youngest Kingsguard in history. My sister became queen at the age of nineteen. When I reached manhood, my father put me in charge of all the drains and cisterns in Casterly Rock."
Episode 8,varys,A most highborn plumber.
Episode 8,tyrion lannister,The water never flowed better. And all the shit found its way to the sea. I never expected to have any real power. So when my father named me acting Hand
Episode 8,varys,"You're quite good at being Hand, you know? Jon Arryn and Ned Stark were good men. Honorable men. But they disdained the game and those who played. You enjoy the game."
Episode 8,tyrion lannister,I do. Last thing I expected.
Episode 8,varys,And you play it well.
Episode 8,tyrion lannister,"I'd like to keep playing it. If Stannis breaches the gates, the game is over."
Episode 8,varys,They say he burns his enemies alive to honor the Lord of Light.
Episode 8,tyrion lannister,"The Lord of Light wants his enemies burned, the Drowned God wants them drowned. Why are all the gods such vicious cunts? Where is the god of tits and wine?"
Episode 8,varys,"In the Summer Isles, they worship a fertility goddess with sixteen teats."
Episode 8,tyrion lannister,We should sail there immediately.
Episode 8,varys,"This morning, I heard a song all the way from Qarth beyond the Red Waste. Daenerys Targaryen lives."
Episode 8,tyrion lannister,A girl at the edge of the world is the least of our problems.
Episode 8,varys,"She has three dragons. But even if what they say is true, it'll be years before they are fully grown. And then there will be nowhere to hide."
Episode 8,tyrion lannister,"One game at a time, my friend."
Episode 8,jorah mormont,"Careful, Khaleesi. Xaro owns this city and the warlocks have a thousand eyes watching for you. I found one. A ship with a good captain. She leaves for Astapor tomorrow."
Episode 8,daenerys targaryen,Astapor?
Episode 8,jorah mormont,We cannot stay here.
Episode 8,daenerys targaryen,They have my dragons. A mother does not flee without her children.
Episode 8,jorah mormont,"They're not your children. I know they call you the Mother of Dragons and I know you love them, but you didn't grow them in your womb. They didn't suckle at your breast. They are dragons, Khaleesi. And if we stay in Qarth, we'll die."
Episode 8,daenerys targaryen,You should sail to Astapor. I'm sure you'll be safe there.
Episode 8,jorah mormont,"You know I would die for you. I will never abandon you. I'm sworn to protect you, to serve."
Episode 8,daenerys targaryen,"Then serve me. If my dragons are in the House of the Undying, then take me there."
Episode 8,jorah mormont,"That's what the warlock wants. He told you so himself. If you enter that place, you will never leave again. His magic is strong."
Episode 8,daenerys targaryen,And what of my magic? You saw me step into the fire. You watched the witch burn. What did the flames do to me? Do you remember?
Episode 8,jorah mormont,"Until my last breath, I will remember. After I have forgotten my mother's face."
Episode 8,daenerys targaryen,They are my children. And they are the only children I will ever have. Take me to them.
Episode 8,theon greyjoy,We should bury them.
Episode 8,theon greyjoy,"If they haven't got the damn message yet, a few more days won't help. As you say. But it don't hurt to let 'em rot a while longer."
Episode 8,theon greyjoy,Gold for the farmer. For his trouble.
Episode 9,davos,"Aye, but we have the wind. She'll blow us straight to the gates."
Episode 9,davos,King's Landing hasn't been home for twenty years. I spent most of my life dodging the royal fleet. And now I'm sailing right at them.
Episode 9,davos,"Of course, there are several royal fleets at the moment."
Episode 9,davos,Gods be good.
Episode 9,davos,But not over them?
Episode 9,davos,"Well, first, we have to put it there."
Episode 9,davos,"Our army outnumber theirs five-to-one. Those walls have never been breached, and the men guarding the walls, when they see you, they don't see a liberator, they see a stranger come to set their city on fire."
Episode 9,tyrion lannister,"If the city falls, Stannis will burn every Lannister he can find. Of course I'm afraid."
Episode 9,tyrion lannister,I'm a Lannister. I don't have a choice in all this. But it's not your war.
Episode 9,tyrion lannister,You can't fuck your way out of everything.
Episode 9,cersei lannister,Your words are always wise and measured.
Episode 9,cersei lannister,You brought me something?
Episode 9,cersei lannister,I know what ten drops will bring.
Episode 9,cersei lannister,You may not. You must have a lot of work to do. I'm sure many brave men will need your wisdom soon.
Episode 9,cersei lannister,"Be careful on the stairs, Grand Maester. There are so many."
Episode 9,bronn,To the boys!
Episode 9,bronn,Drunk Lannisters.
Episode 9,bronn,Thank you very much.
Episode 9,bronn,"Well, now let's see. First time, I was five. My mam smacked me with an iron poker."
Episode 9,bronn,It wasn't me she was aiming at. She was trying for my little brother. Now he was a real pest.
Episode 9,bronn,"Second time, I was nine. Got in a scrap with a few older boys. They won. Third time-"
Episode 9,bronn,"Eh, you don't want to know about the third time."
Episode 9,bronn,Don't feel sorry for him. He'll be halfway up your arse before the night's through.
Episode 9,bronn,"Welcome, friends. This roundo s on me."
Episode 9,bronn,I don't think he likes me.
Episode 9,bronn,I know it.
Episode 9,bronn,It's warm in here. We've got beautiful women and good brown ale. Plenty for everyone. And all you want is to put one of us in the cold ground with no women to keep us company.
Episode 9,bronn,And quicker. Eh?
Episode 9,bronn,Aye I expect he will someday.
Episode 9,bronn,One more drink before the war? Shall we?
Episode 9,varys,"I've always hated the bells. They ring for horror. A dead king, a city under siege."
Episode 9,tyrion lannister,A wedding.
Episode 9,varys,"Exactly. Podrick, is that it?"
Episode 9,tyrion lannister,"Is that it?"" Nice touch. As if you don't know the name of every boy in town."
Episode 9,varys,I'm not entirely sure what you're suggesting.
Episode 9,tyrion lannister,I'm entirely sure you're entirely sure what I'm suggesting.
Episode 9,varys,Do you trust him?
Episode 9,tyrion lannister,"Oddly enough, I do."
Episode 9,varys,Good.
Episode 9,varys,The map you asked for.
Episode 9,tyrion lannister,There must be twenty miles of tunnels beneath the city.
Episode 9,varys,Closer to fifty. The Targaryens built this city to withstand a siege and to provide escape if necessary.
Episode 9,tyrion lannister,"I'm not escaping. Strange as it sounds, I'm the captain of the ship, and if the ship goes down, I go with her."
Episode 9,varys,"That is good to hear. Though I'm sure many captains say the same while their ship is afloat. You look well suited for battle, my lord."
Episode 9,tyrion lannister,"Well, I'm not."
Episode 9,varys,"For all our sakes, I hope you are wrong. My little birds tell me that Stannis Baratheon has taken up with a red priestess from Asshai."
Episode 9,tyrion lannister,What of it?
Episode 9,varys,"You don't believe in the old powers, my lord?"
Episode 9,tyrion lannister,"Blood spells, curses, shape-shifting. What do you think?"
Episode 9,varys,I think you believe in what you see and in what those you trust have seen. You probably don't entirely trust me.
Episode 9,tyrion lannister,"Mmm, don't take it personally. I don't entirely trust myself."
Episode 9,varys,"And yet I have seen things and heard things, things you have not, things I wish I had not. I don't believe I've ever told you how I was cut."
Episode 9,tyrion lannister,"No, I don't believe you have."
Episode 9,varys,"One day, I will. The dark arts have provided Lord Stannis with his armies and paved his path to our door. For a man in service to such powers to sit on the Iron Throne, I can think of nothing worse. And tonight, I believe you are the only man who can stop him."
Episode 9,davos,I've never known bells to mean surrender. They want to play music with us? Let's play. Drums.
Episode 9,tyrion lannister,"Remember, wait till the ships-"
Episode 9,bronn,The ships are in the bay.
Episode 9,tyrion lannister,They must be far enough in-
Episode 9,bronn,"I know what ""in"" means. Do you know how to use that?"
Episode 9,tyrion lannister,"I chopped wood once. No, I watched my brother chopping wood."
Episode 9,bronn,I saw you kill a man with a shield. You'll be unstoppable with an ax.
Episode 9,bronn,Don't get killed.
Episode 9,tyrion lannister,"Nor you, my friend."
Episode 9,bronn,"Oh, are we friends now?"
Episode 9,tyrion lannister,Of course we are. Just because I pay you for your services doesn't diminish our friendship.
Episode 9,bronn,"Enhances it, really."
Episode 9,tyrion lannister,"Oh! ""Enhances."" Fancy word for a sellsword."
Episode 9,bronn,Been spending time with fancy folks.
Episode 9,tyrion lannister,Lady Sansa and Sheila.
Episode 9,tyrion lannister,"Shae, yes. Surely my sister has asked you to join the other highborn ladies in Maegor's holdfast."
Episode 9,sansa stark,"She has, my lord, but King Joffrey sent for me to see him off."
Episode 9,tyrion lannister,"Always been a great romantic, my nephew."
Episode 9,sansa stark,"I will pray for your safe return, my lord."
Episode 9,tyrion lannister,Will you?
Episode 9,sansa stark,Just as I pray for the king's.
Episode 9,tyrion lannister,"Stay safe, my lady."
Episode 9,sansa stark,Will you slay him yourself?
Episode 9,sansa stark,So you'll be outside the gates fighting in the vanguard?
Episode 9,sansa stark,"I'm sorry, Your Grace. You're right, I'm stupid. Of course you'll be in the vanguard. They say my brother Robb always goes where the fighting is thickest. And he is only a pretender."
Episode 9,sansa stark,Joffrey will. The worst ones always live.
Episode 9,tyrion lannister,On the way.
Episode 9,tyrion lannister,"Ser Lancel, tell the Hound to tell the king that the Hand is extremely busy."
Episode 9,tyrion lannister,"That would make me the quarterman. It just doesn't have the same ring to it. Cut me in half and I won't be able to give the signal. No signal, no plan. No plan and Stannis Baratheon sacks this city, takes the Iron Throne, puts your pinched little head atop a gate somewhere. It might be quite amusing, except that my head would be up there, too. I've never much liked my head, but I don't want to see it removed just yet."
Episode 9,davos,Where are their ships?
Episode 9,davos,Lord Varys knows what you had for breakfast three days ago. There are no surprises here.
Episode 9,davos,Maybe.
Episode 9,sansa stark,I don't know why she wants me here. She's always saying how stupid I am. She hates me.
Episode 9,sansa stark,I doubt it.
Episode 9,sansa stark,Why would she be jealous?
Episode 9,cersei lannister,Sansa.
Episode 9,cersei lannister,"I was wondering where our little dove had flown. You look pale, child. Is your red flower still blooming?"
Episode 9,sansa stark,Yes.
Episode 9,cersei lannister,"Fitting, isn't it? The men will bleed out there and you will bleed in here. Pour Lady Sansa some wine."
Episode 9,cersei lannister,So? I didn't offer you water.
Episode 9,sansa stark,What's he doing here?
Episode 9,cersei lannister,"Ser llyn? He's here to defend us. When the axes smash down those doors, you may be glad to have him."
Episode 9,sansa stark,But we have guards to defend us.
Episode 9,cersei lannister,"Guards we have paid. Should the city fall, they'll be the first ones out of the doors."
Episode 9,cersei lannister,The battle's first traitors. Have Ser llyn see to them. Put their heads on spikes outside the stables as a warning.
Episode 9,cersei lannister,The only way to keep the small folk loyal is to make certain they fear you more than they do the enemy. Remember that if you ever hope to become a queen.
Episode 9,sansa stark,You said he was here to protect us.
Episode 9,cersei lannister,He is. Traitors are a danger to us all. More wine.
Episode 9,tyrion lannister,Archers to their marks.
Episode 9,tyrion lannister,Hold fast.
Episode 9,davos,"Archers, stand to! Man the below! Nock."
Episode 9,davos,Draw! Hold.
Episode 9,davos,There's no one on board.
Episode 9,davos,Wildfire. Steer clear! Steer clear!
Episode 9,davos,Matthos! Get down!
Episode 9,stannis baratheon,Prepare to land.
Episode 9,stannis baratheon,The dwarf has played his little trick.
Episode 9,stannis baratheon,He can only play it once.
Episode 9,stannis baratheon,Thousands.
Episode 9,stannis baratheon,Come with me and take this city!
Episode 9,cersei lannister,"Sansa, come here, little dove."
Episode 9,sansa stark,My queen.
Episode 9,cersei lannister,What are you doing?
Episode 9,sansa stark,Praying.
Episode 9,cersei lannister,"You're perfect, aren't you? Praying. What are you praying for?"
Episode 9,sansa stark,For the gods to have mercy on us all.
Episode 9,cersei lannister,Oh. On all of us?
Episode 9,sansa stark,"Yes, Your Grace."
Episode 9,cersei lannister,Even me?
Episode 9,sansa stark,"Of course, Your Grace."
Episode 9,cersei lannister,Even Joffrey?
Episode 9,sansa stark,Joffrey is my-
Episode 9,cersei lannister,"Oh, shut up, you little fool. Praying to the gods to have mercy on us all. The gods have no mercy. That's why they're gods. My father told me that when he caught me praying. My mother had just died, you see. I didn't really understand the concept of death, the finality of it. I thought that if I prayed very, very hard, the gods would return my mother to me. I was four."
Episode 9,sansa stark,Your father doesn't believe in the gods?
Episode 9,cersei lannister,"He believes in them, he just doesn't like them very much."
Episode 9,cersei lannister,One for her.
Episode 9,cersei lannister,Here. Sit. Drink.
Episode 9,cersei lannister,"Not like that. Drink, girl."
Episode 9,cersei lannister,I should have been born a man. I'd rather face a thousand swords than be shut up inside with this flock of frightened hens.
Episode 9,sansa stark,They are your guests under your protection. You asked them here.
Episode 9,cersei lannister,"It was expected of me, as it will be of you if you ever become Joffrey's queen. If my wretched brother should somehow prevail, these hens will return to their cocks and crow of how my courage inspired them, lifted their spirits."
Episode 9,sansa stark,And if the city should fall?
Episode 9,cersei lannister,"You'd like that, wouldn't you? The Red Keep should hold for a time, long enough for me to go to the walls and yield to Lord Stannis in person. If it were anyone else outside those gates, I might have hoped for a private audience, but this is Stannis Baratheon. I'd have a better chance of seducing his horse."
Episode 9,cersei lannister,"Have I shocked you, little dove? Tears aren't a woman's only weapon. The best one's between your legs. Learn how to use it. Drink."
Episode 9,cersei lannister,"Do you have any notion of what happens when a city is sacked? No, you wouldn't, would you? If the city falls, these fine women should be in for a bit of a rape. Half of them will have bastards in their bellies come the morning. You'll be glad of your red flower then. When a man's blood is up, anything with tits looks good. A precious thing like you will look very, very good. A slice of cake just waiting to be eaten."
Episode 9,tyrion lannister,"He's a serious man, Stannis Baratheon."
Episode 9,tyrion lannister,Rain fire on them.
Episode 9,tyrion lannister,"Hound, form a welcome party for any Baratheon troop that manages to touch solid ground. Pod, run to the King's Gate. Bring any men guarding it here, now."
Episode 9,stannis baratheon,"To the Mud Gate, go now!"
Episode 9,cersei lannister,"When we were young, Jaime and I, we looked so much alike even our father couldn't tell us apart. I could never understand why they treated us differently. Jaime was taught to fight with sword and lance and mace, and I was taught to smile and sing and please. He was heir to Casterly Rock, and I was sold to some stranger like a horse to be ridden whenever he desired."
Episode 9,sansa stark,You were Robert's queen.
Episode 9,cersei lannister,And you will be Joffrey's. Enjoy. I don't think I know this one.
Episode 9,cersei lannister,Pretty.
Episode 9,cersei lannister,"That's the worst curtsy I've ever seen. Here, it's not difficult. I mastered it when I was four. Straighten your back and bend."
Episode 9,cersei lannister,Better. You learn fast. How long have you been in Lady Sansa's service?
Episode 9,cersei lannister,When did you leave Lorath?
Episode 9,cersei lannister,I had a Lorathi handmaiden once.
Episode 9,cersei lannister,But she was a nobleman's daughter. You're not. When did you come to Westeros?
Episode 9,cersei lannister,"From Lorathi commoner to the Red Keep in ten years, all without learning how to curtsy. I imagine that's a very interesting story. What's your name?"
Episode 9,cersei lannister,"Tell us a story, Shae."
Episode 9,cersei lannister,What news?
Episode 9,cersei lannister,Where is Joffrey?
Episode 9,cersei lannister,Bring him back inside at once.
Episode 9,cersei lannister,What?
Episode 9,cersei lannister,Bring him back to his chambers now.
Episode 9,cersei lannister,With the women and children? Do you want him to be mocked as a coward for the rest of his life?
Episode 9,cersei lannister,Now!
Episode 9,cersei lannister,"When I told you about Ser llyn earlier, I lied. Do you want to hear the truth? You want to know why he's really here? He's here for us. Stannis may take the city, he may take the throne, but he will not take us alive."
Episode 9,stannis baratheon,Get the ladders up!
Episode 9,tyrion lannister,"Can I get you some iced milk and a nice bowl of raspberries, too?"
Episode 9,tyrion lannister,You're on the wrong side of the wall.
Episode 9,tyrion lannister,"You're Kingsguard, Clegane. You must beat them back or they're going to take this city. Your king's city."
Episode 9,tyrion lannister,"If you won't defend your own city, why should they?"
Episode 9,tyrion lannister,Lead. Get down there and lead your people against the invaders who want to kill them.
Episode 9,tyrion lannister,I'll lead the attack. I'll lead the attack!
Episode 9,tyrion lannister,"Pod, my helmet. Ser Mandon, you will bear the king's banner. Men, form up. Men Men! They say I'm half a man. But what does that make the lot of you?"
Episode 9,tyrion lannister,There's another way out. I'm going to show you. We'll come out behind them and fuck them in their arses.
Episode 9,tyrion lannister,"Don't fight for your king and don't fight for his kingdoms. Don't fight for honor. Don't fight for glory. Don't fight for riches, because you won't get any. This is your city Stannis means to sack. That's your gate he's ramming. If he gets in, it will be your houses he burns, your gold he steals, your women he will rape."
Episode 9,tyrion lannister,Those are brave men knocking at our door. Let's go kill them.
Episode 9,cersei lannister,Where is my son?
Episode 9,cersei lannister,Why do I care what you want? Bring me-
Episode 9,sansa stark,"Don't be afraid. The queen has raised the drawbridge. This is the safest place we can be. Joffrey's not hurt. He's fighting bravely. His knights have rallied behind him. They will save the city. Shall we sing a hymn? Gentle mother, fount of mercy..."
Episode 9,sansa stark,Come with me.
Episode 9,sansa stark,The queen said they'd rape everyone.
Episode 9,sansa stark,What are you doing here?
Episode 9,sansa stark,Where?
Episode 9,sansa stark,What about the king?
Episode 9,sansa stark,I'll be safe here. Stannis won't hurt me.
Episode 9,sansa stark,You won't hurt me.
Episode 9,tyrion lannister,Attack!
Episode 9,tyrion lannister,"Oh, fuck me."
Episode 9,cersei lannister,"Shh! Be calm, my sweet."
Episode 9,cersei lannister,No one's going to hurt you. I'll tell you a story. You know the one about the mother lion and her little cub? They lived in the woods.
Episode 9,cersei lannister,"Yes, my love. In the Kingswood, there lived a mother and her cub. She loved him very much. But there were other things that lived in the woods. Evil things."
Episode 9,cersei lannister,Like stags.
Episode 9,cersei lannister,And wolves.
Episode 9,cersei lannister,"He could hear them howling in the night. The little cub was frightened. His mother said, ""You are a lion, my son. You mustn't be afraid."""
Episode 9,cersei lannister,"For one day, all the beasts will bow to you. You will be king. All the stags will bow. All the wolves will bow. The bears in the north and the foxes of the south, all the birds in the sky and the beasts in the sea, they will all come to you, little lion, to rest a crown upon your head."
Episode 9,cersei lannister,"And the cub said, ""Will I be strong and fierce like my father?"""
Episode 9,cersei lannister,"Yes,"" said his mother. ""You will be strong and fierce just like your father."
Episode 9,cersei lannister,"I will keep you safe, my love. I promise you."
Episode 9,stannis baratheon,"Stand and fight! Stand and fight, damn you!"
Episode 9,stannis baratheon,No!
Episode 9,cersei lannister,Father.
Episode 9,tywin lannister,The battle is over. We have won.
Episode 10,tyrion lannister,Pod.
Episode 10,tyrion lannister,Pod! Find Bronn or Varys. Tell them I am here with Maester Pycelle. Tell them I am very much alive.
Episode 10,tyrion lannister,What happened?
Episode 10,tyrion lannister,Where am I?
Episode 10,tywin lannister,"Thank you, Your Grace."
Episode 10,petyr baelish,"You honor me beyond words, Your Grace. I shall have to acquire some sons and grandsons."
Episode 10,cersei lannister,"Your Grace, in the judgment of your Small Council, it would be neither proper nor wise for you to wed the daughter of a man beheaded for treason, a girl whose brother is in open rebellion against the throne as we speak. For the good of the realm, your councilors beg you to set Sansa Stark aside."
Episode 10,petyr baelish,My lady. My sincerest condolences.
Episode 10,sansa stark,They're right. I'm not good enough for him.
Episode 10,petyr baelish,"You shouldn't say that. You'll be good enough for many things. He'll still enjoy beating you. And now that you're a woman, he'll be able to enjoy you in other ways as well."
Episode 10,sansa stark,"But, if he's not marrying me-"
Episode 10,petyr baelish,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home."
Episode 10,sansa stark,King's Landing is my home now.
Episode 10,petyr baelish,Look around you. We're all liars here. And every one of us is better than you.
Episode 10,varys,"No need for that, my dear."
Episode 10,varys,I'm not like most men.
Episode 10,varys,I would like you to tell me if working for Lord Baelish has been all you'd hoped it would be.
Episode 10,varys,You wouldn't remember me if we had?
Episode 10,varys,And I think you remember all of them. I think your true talents are wasted on them.
Episode 10,varys,You're afraid. Why? Nothing dangerous down there.
Episode 10,varys,"And, unlike your current employer, I protect those who work for me. I don't abuse them to satisfy royal whims or force them to abuse each other."
Episode 10,varys,I thought you said you knew who I was.
Episode 10,varys,Littlefinger looks at you and sees a collection of profitable holes. I see a potential partner.
Episode 10,varys,"Oh, you should be. He's a dangerous man. But everyone has their weaknesses. Your current employer hides his very well, but not as well as he thinks."
Episode 10,jaime lannister,"You're a virgin, I take it?"
Episode 10,brienne,Walk.
Episode 10,jaime lannister,"Childhood must have been awful for you. Were you a foot taller than all the boys? They laughed at you, called you names? Some boys like a challenge. One or two must have tried to get inside Big Brienne."
Episode 10,brienne,One or two tried.
Episode 10,jaime lannister,"Ah. But you fought them off. But maybe you wished one of them could overpower you, fling you down, tear off your clothes. But none of them were strong enough. I'm strong enough."
Episode 10,brienne,Not interested.
Episode 10,jaime lannister,Of course you are. You'd love to know what it feels like to be a woman.
Episode 10,jaime lannister,"Ah. ""They lay with lions."" Tavern girls, I'd say. Probably served my father's soldiers. Maybe one of them gave up a kiss and a feel. That's how they earned this. The glorious work of the Northern freedom fighters. Must make you proud to serve the Starks."
Episode 10,brienne,I don't serve the Starks. I serve Lady Catelyn.
Episode 10,jaime lannister,Tell yourself that tonight when they swing in your dreams.
Episode 10,jaime lannister,What are you doing?
Episode 10,brienne,Burying them.
Episode 10,jaime lannister,We shouldn't stay here. We should get back on the river.
Episode 10,brienne,I think these women would understand if I don't care what you think.
Episode 10,jaime lannister,Untie me. Now!
Episode 10,brienne,Traveling a prisoner.
Episode 10,brienne,If you've quite finished up-
Episode 10,brienne,"All right, we'll be going."
Episode 10,brienne,The Starks.
Episode 10,jaime lannister,Apparently eating is now a crime. Who knew?
Episode 10,brienne,"No, stealing is a crime."
Episode 10,jaime lannister,But it's not a crime to starve. That's justice for you.
Episode 10,brienne,To Riverrun.
Episode 10,brienne,"Steal from the Tullys, it's their dungeons you rot in."
Episode 10,jaime lannister,For stealing a pig?
Episode 10,brienne,I don't give the orders. He must be important to someone.
Episode 10,jaime lannister,Have you been to Ashemark?
Episode 10,jaime lannister,Then you don't know me.
Episode 10,jaime lannister,Is it near Ashemark?
Episode 10,jaime lannister,I've never been there.
Episode 10,brienne,I hope you gave them quick deaths.
Episode 10,jaime lannister,I wish someone had told me. I wouldn't have had to steal that pig.
Episode 10,brienne,"If this is the Kingslayer, I think I'd know about it."
Episode 10,brienne,"He's not the Kingslayer. Sorry to disappoint you. If he was, I'd only be traveling his head."
Episode 10,brienne,Two quick deaths.
Episode 10,jaime lannister,Those were Stark men.
Episode 10,brienne,"I don't serve the Starks. I serve Lady Catelyn. I told you I'd take you to King's Landing, and that's what I'm going to do. Stay."
Episode 10,catelyn stark,Walder Frey is a dangerous man to cross.
Episode 10,robb stark,I know that.
Episode 10,catelyn stark,And you mean to do it anyway?
Episode 10,robb stark,I love her.
Episode 10,catelyn stark,I know that seems important to you.
Episode 10,robb stark,It is important to me.
Episode 10,catelyn stark,"Your father didn't love me when we married. He hardly knew me or I him. Love didn't just happen to us. We built it slowly over the years, stone by stone, for you, for your brothers and sisters, for all of us. It's not as exciting as secret passion in the woods, but it is stronger. It lasts longer."
Episode 10,robb stark,"And that is what would be in store for me with one of Walder Frey's daughters, what you and father had?"
Episode 10,catelyn stark,Why not? Because she's not beautiful? Because she's not exotic and exciting?
Episode 10,robb stark,Now you're arguing just to argue because you arranged it.
Episode 10,catelyn stark,"And you agreed to it. You gave him your word. Treat your oaths recklessly, and your people will do the same. If your father lived his life for one thing"
Episode 10,robb stark,My father is dead. And the only parent I have left has no right to call anyone reckless.
Episode 10,stannis baratheon,You said you saw my victory in the flames.
Episode 10,stannis baratheon,"The flames lied. And I'm no better than a savage trusting in a fire god. I fought for your god in Blackwater Bay. I led my men to the gates of the seventh hell as their brothers burned alive, and for what? Attacked from behind by Tywin Lannister and the Tyrells. If you see so much in your flames, why didn't you warn me?"
Episode 10,stannis baratheon,You claimed to speak for a god.
Episode 10,stannis baratheon,You talk about war as if you understand it.
Episode 10,stannis baratheon,Have you? Show me how you fight.
Episode 10,stannis baratheon,Show me.
Episode 10,stannis baratheon,Where's your god now? Will he save you? Where is your god?
Episode 10,stannis baratheon,I murdered my brother.
Episode 10,stannis baratheon,He wasn't your brother.
Episode 10,stannis baratheon,"You promise these things, but you don't know. None of us know."
Episode 10,stannis baratheon,I see fire.
