Sentence,Label
"Your visits are too few, cousin.",tyrion lannister
So it is. Will you take a cup with me? I find that mulled wine helps me sleep.,tyrion lannister
"If my sister was so concerned for Pycelle, I would have thought she'd come herself. Instead she sends you. What am I to make of that?",tyrion lannister
And you've received these instructions directly from Cersei?,tyrion lannister
And you've waited this long to deliver the information?,tyrion lannister
"Cersei must have great trust in you, allowing you into her chamber during the hour of the wolf.",tyrion lannister
She must be very glad to have you helping her from dusk till dawn.,tyrion lannister
"Ah. Lavender oil. She always loved lavender oil, even as a girl.",tyrion lannister
"An anointed knight, yes. Tell me, did Cersei have you knighted before or after she took you into her bed? What? Nothing to say? No more warnings for me, ser?",tyrion lannister
Have you ever given any thought to what King Joffrey will have to say when he finds out you've been bedding his mother?,tyrion lannister
"Did she take you against your will? Can you not defend yourself, knight?",tyrion lannister
"Did he tell you to fuck her, too?",tyrion lannister
"Hated every moment of it, is that what you'll have me believe? A high place in court, a knighthood, my sister's legs spreading open for you at night. Oh, yes, it must have been terrible. Wait here. His Grace will want to hear this.",tyrion lannister
Save it for Joffrey. He loves a good grovel.,tyrion lannister
"No, I think not.",tyrion lannister
"You heard me. My father told you to obey my sister. Obey her. Stay close to her side. Keep her trust. Pleasure her whenever she requires. No one ever need know, as long as you keep faith with me. I want to know what Cersei is doing, where she goes, who she sees, what they talk of, everything. And you will tell me.",tyrion lannister
"Oh, rise, rise. Let us drink to our understanding. Oh, you don't have a cup. Oh, well. Smile, cousin. My sister is a beautiful woman, and it's all for the good of the realm. Go back and tell her that I beg her forgiveness, that I want no more conflict between us and that, henceforth, I shall do nothing without her consent.",tyrion lannister
"Oh, I'll give her Pycelle.",tyrion lannister
"Yes, I'll release him in the morning. Cersei can keep him as a pet, if she wants, but I will not have him on the Council. I could swear that I had not harmed a single hair on his head, but that would not, strictly speaking, be true. Stay within one table length.",tyrion lannister
Your Grace.,davos
Do your knuckle bones bring you luck?,stannis baratheon
"Well, life's been good since you hacked them off, Your Grace. And it's four less fingernails to clean.",davos
Fewer.,stannis baratheon
Pardon?,davos
Four fewer fingernails to clean. Never understood why you had to wear them.,stannis baratheon
It reminds me of where I come from and where I am now. It reminds me of your justice. It was an honest punishment and you were good with the cleaver.,davos
"You were a hero and a smuggler. A good act does not wash out the bad, nor a bad the good.",stannis baratheon
A lesson I've tried to teach my son.,davos
Does he listen?,stannis baratheon
"To me? Gods, no. But if your Red Woman told him to leap from the crow's nest",davos
She has a name. I trust you've not forgotten your smuggler's tricks.,stannis baratheon
I've lived within the law for seventeen-,davos
I want you to be a smuggler this time.,stannis baratheon
"Any shore, any night. What am I bringing ashore?",davos
The Red Woman. No one must know what you do and we'll not speak of this again.,stannis baratheon
"I am true to Your Grace and always will be, but surely there are other ways, cleaner ways.",davos
Cleaner ways don't win wars.,stannis baratheon
Someone once told me the night is dark and full of terrors.,davos
"I'd say my parts are mixed, my lady, good and bad.",davos
And which are you?,davos
"Well, that must be very nice for you.",davos
I do.,davos
Don't talk about my wife.,davos
Strange that this Lord of Light asks you to work in the shadows.,davos
These weren't here before. They've barred the passage.,davos
Gods protect us.,davos
By the mother. My son has no interest in the Iron Throne.,catelyn stark
And the wording of this oath?,catelyn stark
And in return for my son's loyalty?,catelyn stark
"Our two houses have always been close, which is why I am begging you to reconsider this battle. Negotiate a peace with your brother.",catelyn stark
No! No.,brienne
"No, wait, it wasn't her!",catelyn stark
We've got to leave. They'll hang you for this.,catelyn stark
I won't leave him.,brienne
You can't avenge him if you're dead.,catelyn stark
Not that way.,brienne
"My lord, my lady.",petyr baelish
"Stannis will be here in an hour. When he arrives, Renly's bannermen will flock to him. Your former companions will fight for the privilege of selling you to their new king.",petyr baelish
"You will note that I am standing here talking to you, not Stannis.",petyr baelish
Stannis.,petyr baelish
"Tell me, Ser Loras, what do you desire most in this world?",petyr baelish
"I have always found that to be the purest of motivations, but you won't have a chance to put your sword through Stannis, not today. You'll be cut to pieces before he sets foot on solid ground. If it is justice that you want, be smart about it.",petyr baelish
"He was, Your Grace.",petyr baelish
Do you want to be a queen?,petyr baelish
Killed? By whom?,cersei lannister
Accounts differ. Most seem to implicate Catelyn Stark in some way.,tyrion lannister
Really? Who'd have thought?,cersei lannister
"Some say it was one of his own Kingsguard, while still others say it was Stannis himself who did it after negotiations went sour.",tyrion lannister
"Whomever did it, I say well done.",cersei lannister
"It's not what Varys says. He says Renly's army is flocking to support Stannis, which would give Stannis superiority over us on both land and sea.",tyrion lannister
Littlefinger says we can outspend him three to one.,cersei lannister
"And I say Father raised you to have too much respect for money. Stannis Baratheon is coming for us, sooner rather than later.",tyrion lannister
"Aren't there other things you should be doing, like sealing my daughter in a crate so you can ship her away?",cersei lannister
She'll be safer in Dorne.,tyrion lannister
"Yes, I know how concerned you are for her safety.",cersei lannister
"It so happens that I am. Myrcella is a sweet, innocent girl and I don't blame her at all for you.",tyrion lannister
So clever. Aren't you always so clever with your schemes and your plots?,cersei lannister
Schemes and plots are the same thing. They are going to attack us. We need to be ready.,tyrion lannister
No need to concern yourself over it. The king is taking personal charge of siege preparations.,cersei lannister
May I ask specifically what the king has in mind?,tyrion lannister
"You may, specifically, or you may ask vaguely. The answer will be the same.",cersei lannister
It's important that we talk about this.,tyrion lannister
It's the king's royal prerogative to withhold sensitive information from his councilors.,cersei lannister
"Wildfire? You wouldn't lie to me, would you, cousin?",tyrion lannister
MThat's a lie right there.,tyrion lannister
"Tell me, if the vile allegations against my brother and sister are true, do you think it will make Jaime more likely to kill you or less likely? When I tell him you're fucking her, I mean.",tyrion lannister
The smart money would be on more likely.,tyrion lannister
But then perhaps his own unnatural urges will give him sympathy for yours.,tyrion lannister
I suppose there's only one way to find out.,tyrion lannister
When did she tell you this?,tyrion lannister
Swear to me on what?,tyrion lannister
But I don't care about your life.,tyrion lannister
"All right, all right. Enough. Even torturing you is boring. Just get out.",tyrion lannister
"Oh, Lancel, tell my friend Bronn to please kill you if anything should happen to me.",tyrion lannister
It will be my pleasure.,bronn
Your Grace.,davos
What is it?,stannis baratheon
"I'm sorry about your brother, Your Grace, I wanted to let you know that people grieve for him.",davos
"Fools love a fool. I grieve for him as well, for the boy he was, not the man he grew to be.",stannis baratheon
I need to speak to you - about what I saw in that cave.,davos
I thought I made it clear to you there'd be no need to speak to me on this matter.,stannis baratheon
"Your Grace, I-",davos
I've never known you to need to hear a thing twice.,stannis baratheon
And I've never known you to hide from the truth.,davos
You've come to lecture me on truth?,stannis baratheon
I've come to tell you that what I saw.,davos
"All my brother's bannermen have come to my side. Except the Tyrells, who fled like cowards. They won't be able to resist us now. Soon I shall be sitting on the Iron Throne.",stannis baratheon
"Nothing is worth what this will cost you, not even the Iron",davos
I'll hear no more about it.,stannis baratheon
When do we sail for King's Landing?,davos
"As soon as I've consolidated my troops. We'll make short work of the Lannisters' fleet. Once Blackwater Bay is cleared, we'll deliver our troops to their doorstep and take the city.",stannis baratheon
And will you bring Lady Melisandre with you?,davos
That's not your concern.,stannis baratheon
"If you take King's Landing with her by your side, the victory will be hers.",davos
I never thought I'd have reason to doubt your loyalty. Was I wrong?,stannis baratheon
Loyal service means telling hard truths.,davos
"Oh, truth again. All right, what's the truth? The hard truth?",stannis baratheon
She's a foreigner preaching her foreign religion. Some believe she whispers orders in your ear and you obey.,davos
What do you believe?,stannis baratheon
You won those bannermen from Renly. Don't lose them to her.,davos
We set out for King's Landing without Lady Melisandre. And you lead the fleet into Blackwater Bay.,stannis baratheon
"Your Grace, I'm honored, but my time on the sea was spent evading ships, not attacking them. The other lords won't be happy.",davos
"Most of those lords should consider themselves lucky I don't hang them for treason. Hard truths cut both ways, Ser Davos.",stannis baratheon
"Stannis has more infantry, more ships, more horses. What do we have?",tyrion lannister
There's that mind of yours you keep going on about.,bronn
"Well, I've never actually been able to kill people with it.",tyrion lannister
Good thing. I'd be out of a job. What about your father?,bronn
"He hasn't sent a raven in weeks. He's very busy. Being repeatedly humiliated by Robb Stark is time-consuming. We won't be able to hold the city against Stannis, not the way Joffrey's planning on holding it.",tyrion lannister
It's hard to argue with his assessment.,tyrion lannister
Not after what he did to your birthday present.,bronn
The king is a lost cause. It's the rest of us I'm worried about now.,tyrion lannister
You have to admire his imagination.,tyrion lannister
He's talking about you.,bronn
What? Demon monkey?,tyrion lannister
People think you're pulling the king's strings. They blame you for the city's ills.,bronn
Blame me? I'm trying to save them.,tyrion lannister
You don't need to convince me.,bronn
Demon monkey.,tyrion lannister
You're the crew of the Sea Bitch? I'm your commander. Welcome.,theon greyjoy
Stop. Stop! Your captain commands you to stop!,theon greyjoy
"The Stony Shore, to raid their villages. There'll be spoils in it for you, and women, if you do your jobs well.",theon greyjoy
I do. Your captain.,theon greyjoy
"You could do that, take the ship, head out on your own. And I will hunt you down, drag you back here in chains and hang you for a traitor.",theon greyjoy
Thank you. Kind of you to come see me off.,theon greyjoy
You'd better get out there. Wouldn't want her to set sail without you.,theon greyjoy
Who are you?,theon greyjoy
Why aren't you with the rest of them? Or did they send you to row me out and dump me halfway in the sea? That would be good for a laugh.,theon greyjoy
And how am I supposed to prove myself by pillaging piss-poor fishing villages?,theon greyjoy
And yet that's the task my father has given me to prove that I'm a true Iron Islander.,theon greyjoy
The Stony Shore's not far from Torrhen's Square.,theon greyjoy
"No, we could. We could never hold it for more than a few days. As soon as Winterfell got word that we'd taken Torrhen's Square, the Starks would send their men to take it back. And then-",theon greyjoy
Take me to my ship.,theon greyjoy
The Starks understand winter better than we ever will. The cold won't beat them.,tywin lannister
"And I'm sure if those same spies snuck into our own encampments, they would report growing discontent amongst the Southern lords. This is war, no one's content. We've underestimated the Stark boy for too long. He has a good mind for warfare, his men worship him. And as long as he keeps winning battles, they'll keep believing he is King in the North. You've been waiting for him to fail. He is not going to fail, not without our help. So how do we stop him?",tywin lannister
"Yes, I think you would, Reginald. And because you're my cousin, I might even let you wake from that sleep. Go, I'm sure your wife must miss you.",tywin lannister
"Well, then you'd better start riding. Go, before I change my mind and send her your head.",tywin lannister
"If your name wasn't Lannister, you'd be scrubbing out pots in the cook's tent. Go!",tywin lannister
"Not wine, water. We'll be here for some time. Girl, where are you from?",tywin lannister
"Maidenpool, my lord.",arya stark
And who are the Lords of Maidenpool? Remind me.,tywin lannister
"House Mooton, my lord.",arya stark
And what is their sigil?,tywin lannister
"A red salmon. I think a Maidenpool girl would remember that. You're a Northerner, aren't you?",tywin lannister
"Good. One more time, where are you from?",tywin lannister
"Barrowton, my lord. House Dustin. Two crossed longaxes beneath a black crown.",arya stark
And what do they say of Robb Stark in the North?,tywin lannister
They call him the Young Wolf.,arya stark
And?,tywin lannister
They say he rides into battle on the back of a giant direwolf. They say he can turn into a wolf himself when he wants. They say he can't be killed.,arya stark
And do you believe them?,tywin lannister
"No, my lord. Anyone can be killed.",arya stark
Fetch that water.,tywin lannister
I was always a girl.,arya stark
You're one of them now. I should have let you burn.,arya stark
I didn't have a choice.,arya stark
Three what?,arya stark
I can name anyone and you'll kill him?,arya stark
The one who tortures everyone.,arya stark
I don't know his name. They call him the Tickler.,arya stark
When will he come?,jon snow
My uncle told me stories about him.,jon snow
I heard the Halfhand spent half of last winter beyond the Wall.,jon snow
So it is possible for someone to survive out here on their own.,jon snow
"Beautiful, isn't it? Gilly would love it here.",sam
"The Fist of the First Men. Think of how old this place is. Before the Targaryens defeated the Andals, before the Andals took Westeros from the First Men.",sam
"Thousands and thousands of years ago, the First Men stood here where we're standing all through the long night. What do you think they were like, the First Men?",sam
I think they were afraid. I think they came here to get away from something. And I don't think it worked.,jon snow
One blast is for rangers returning. Wildlings is two blasts.,jon snow
"And three for White Walkers. It's been a thousand years, but that's the only time they blow the horn three times.",sam
Well I read it in a book.,sam
Look. It's Qhorin Halfhand.,jon snow
"I remember reading an old sailors' proverb, ""Piss on wildfire and your cock burns off. """,tyrion lannister
My companion takes issue.,tyrion lannister
If I could tell you how many crazy old men I've seen pushing carts around army camps making grand claims about jars full of pig shit. No offense meant.,bronn
To do what?,bronn
How much do you have?,tyrion lannister
"If you could get real soldiers to man the catapults, then maybe you'd hit your target one time in ten, but all the real soldiers are in the Riverlands with your father.",bronn
"I don't know if you've ever seen a battle, old man, but things can get a bit messy. 'Cause when we're flinging things at Stannis, he's flinging them right back at us. Men die, men shit themselves, men run, which means pots falling, which means fire inside the walls, which means the poor cunts trying to defend the city end up burning it down.",bronn
My friend remains unconvinced.,tyrion lannister
"Well, he's not living anymore. And all his pots of wildfire didn't help him, did they? Men win wars, not magic tricks.",bronn
This is a shit idea.,bronn
"I'm afraid I have to concur with my advisor, Wisdom Haylene. The contents of this room could lay King's Landing low. You won't be making wildfire for my sister any longer. You'll be making it for me.",tyrion lannister
Dracarys. Dracarys.,daenerys targaryen
He'll be able to feed himself from now on.,daenerys targaryen
"Let him sleep, Doreah.",daenerys targaryen
He loves you.,daenerys targaryen
"Thank you, my friend.",daenerys targaryen
"The last time a rich man gave me a dress, he was selling me to Khal Drogo.",daenerys targaryen
"Xaro is our host, but we know nothing about him. Men like to talk about other men when they're happy.",daenerys targaryen
It sounds wonderful.,daenerys targaryen
Please excuse me for a moment.,daenerys targaryen
What are they doing?,daenerys targaryen
"Malakko says the statue is too heavy to carry. Kovarro says that Malakko is an idiot. They can pry out the gems, the rest is pure gold. Very soft. He can chop off as much as we can carry.",jorah mormont
We are his guests! You can't pry it or chop it or melt it.,daenerys targaryen
Not even when we leave.,daenerys targaryen
Our host saved us from the Red Waste and you want to steal from him? I will hear no more.,daenerys targaryen
My brother used to say the only thing the Dothraki knew how to do was steal things better men have built.,daenerys targaryen
It's not the only thing. They're quite good at killing the better men.,jorah mormont
That's not the kind of queen I'm going to be.,daenerys targaryen
What is the House of the Undying?,daenerys targaryen
Do I know you?,jorah mormont
Who are you?,jorah mormont
It looked like Stannis.,brienne
To me it just looked like... A shadow in the shape of a man.,catelyn stark
In the shape of Stannis.,brienne
We should reach my son's camp tomorrow.,catelyn stark
"Will you stay there long, my lady?",brienne
"Only long enough to tell Robb what I have seen. After that, I will leave for Winterfell. My two youngest need me. I've been away from them for far too long.",catelyn stark
I never knew my mother.,brienne
I'm sorry.,catelyn stark
My own mother died on the birthing bed when I was very young.,catelyn stark
It's a bloody business.,brienne
What comes after is even harder.,catelyn stark
"Once you're safely back amongst your own people, will you give me leave to go, my lady?",brienne
You mean to kill Stannis.,catelyn stark
I swore a vow.,brienne
But Stannis has a great army around him. His own guards are sworn to keep him safe.,catelyn stark
I'm as good as any of them. I should never have fled.,catelyn stark
Renly's death was no fault of yours. You served him bravely.,catelyn stark
I only held him that once as he was dying.,brienne
"He's gone, Brienne. You serve nothing and no one by following him into the earth. Renly's enemies are Robb's enemies as well.",catelyn stark
"I do not know your son, my lady. But I could serve you, if you would have me. You have courage. Not battle courage, perhaps, but, I don't know, a woman's kind of courage. And I think that when the time comes, you will not hold me back. Promise me that you will not hold me back from Stannis.",brienne
"When the time comes, I will not hold you back.",catelyn stark
"Then I am yours, my lady. I will shield your back and give my life for yours, if it comes to that. I swear it by the Old Gods and the new.",brienne
I vow that you shall always have a place in my home and at my table and that I shall ask no service of you that might bring you dishonor. I swear it by the Old Gods and the new.,catelyn stark
I don't see very well.,sam
A fire.,jon snow
Where?,jon snow
"Lord Commander, I'd like to join Lord Qhorin.",jon snow
I've fought and killed a wight. How many rangers can say that?,jon snow
"I could take up Jon's duties while he's gone, my lord. It would be no trouble.",sam
He's not my manservant and he's not in love with me. He's my advisor and he's my friend.,daenerys targaryen
And what about what a woman wants?,daenerys targaryen
To cross the Narrow Sea and take back the Iron Throne.,daenerys targaryen
Because I promised my khalasar I'd protect them and find them a safe home.,daenerys targaryen
I want them because they're mine by right. The Iron Throne is mine and I will take it.,daenerys targaryen
And how did you get all of this? Did someone give it to you?,daenerys targaryen
"So you wanted more than you had and you took it. You're a conqueror, too. You're just less ambitious.",daenerys targaryen
"What do you want, Xaro Xhoan Daxos? At the gates of the city, you bled for me. Why?",daenerys targaryen
And behind the door?,daenerys targaryen
And it can all be mine?,daenerys targaryen
All I have to do?,daenerys targaryen
That was a romantic proposal.,daenerys targaryen
If you cross the sea with an army you bought and a foreign husband who paid for it...,jorah mormont
The Seven Kingdoms are at war with one another. Four false kings destroying the country.,daenerys targaryen
"To win Westeros, you need support from Westeros.",jorah mormont
The usurper is dead.,daenerys targaryen
"The Starks fight the Lannisters, and Baratheons fight each other.",daenerys targaryen
According to your new friend who earned your trust by cutting his hand?,jorah mormont
The time to strike is now. We need to find ships and an army or we'll spend the rest of our lives rotting away at the edge of the world.,daenerys targaryen
"Rich men do not become rich by giving more than they get. They'll give you ships and soldiers and they'll own you forever. Moving carefully is the hard way, but it's the right way.",jorah mormont
"And if I'd listened to that advice outside the gates of Qarth, we'd all be dead by now.",daenerys targaryen
"I know the opportunity before you seems like the last you'll ever have, but you musT-",jorah mormont
Do not speak to me like I'm a child.,daenerys targaryen
I only want-,jorah mormont
What do you want? Tell me.,daenerys targaryen
To see you on the Iron Throne.,jorah mormont
Why?,daenerys targaryen
"You have a good claim. A title. A birthright. But you have something more than that. You may cover it up and deny it, but you have a gentle heart. You would not only be respected and feared, you would be loved. Someone who can rule and should rule. Centuries come and go without a person like that coming into the world. There are times when I look at you and I still can't believe you're real.",jorah mormont
"So what would you have me do, as my advisor?",daenerys targaryen
"Make your own way. Find your own ship. You only need one. The allies we need are in Westeros, not Qarth.",jorah mormont
And how do I get the ship?,daenerys targaryen
I'll find it for you. A sound ship with a good captain.,jorah mormont
I look forward to meeting him.,daenerys targaryen
Khaleesi.,jorah mormont
You should stand sideface.,arya stark
Sideways.,arya stark
Smaller target.,arya stark
You're practicing for a fight. You should practice right.,arya stark
I've taken your castle.,theon greyjoy
It's Prince Theon now. Get up. You have to get dressed. I've taken Winterfell. I took it. I'm occupying it. I sent men over the walls with grappling claws and ropes.,theon greyjoy
To take the castle.,theon greyjoy
And he sent me back to Pyke. I'm a Greyjoy. I can't fight for Robb and my father both. Where's Hodor?,theon greyjoy
Find the halfwit.,theon greyjoy
My men are bringing your people together in the courtyard.,theon greyjoy
So you and I can go down and tell them - how you've yielded Winterfell to me.,theon greyjoy
"Yes, you will.",theon greyjoy
"The castle is mine. But these people are still yours. You'll yield to keep them safe, to keep them alive. That's what a good lord would do. Think carefully about what you want to say.",theon greyjoy
Louder. Say Prince Theon.,theon greyjoy
"Listen to your little lord, Farlen. He has more sense than you do.",theon greyjoy
My father has donned the ancient crown of Salt and Rock and declared himself King of the Iron Islands. He claims the North as well by right of conquest. You are all his subjects.,theon greyjoy
"If you serve me as loyally as you served Ned Stark, I will be as good to you as he ever was. Betray me, and you will wish you hadn't. Maester Luwin, send a raven to Pyke informing my father of my victory here. And one to Deepwood Motte to my sister. Inform her that she's to bring You are a maester of the Citadel, sworn to serve the Lord of Winterfell, are you not?",theon greyjoy
I am the Lord of Winterfell as Bran just informed you. Send the ravens.,theon greyjoy
I see you've finally learned how to address your betters. What do you want? I was brought here a captive.,theon greyjoy
I'm the one who took you. What of it?,theon greyjoy
"Serve me how? I need fighters, not kitchen sluts.",theon greyjoy
So you can bury it in my neck? Do you take me for a fool? Get up.,theon greyjoy
You'll all go about your tasks as usual. And in a few days' time-,theon greyjoy
"Ser Rodrik, it grieves me that we meet as foes.",theon greyjoy
They are not my people.,theon greyjoy
"My brothers are dead. They died fighting Stark men, men like you.",theon greyjoy
"Among them, but not one of them. I was his hostage, taken from my home.",theon greyjoy
He's not. He's dead. The Seven Kingdoms are at war. And Winterfell is mine.,theon greyjoy
"You've served this house faithfully, old man. But keep talking and I'll-",theon greyjoy
Take him to the cells. Lock him up,theon greyjoy
I'll lock him in a cell until he rots.,theon greyjoy
"Ser Rodrik, I sentence you to death!",theon greyjoy
The old man couldn't keep his mouth shut.,theon greyjoy
"He disrespected me in front of my men. That was his decision, not mine.",theon greyjoy
You'll address me as Prince Theon or you'll be next.,theon greyjoy
"You don't give commands anymore, little lord.",theon greyjoy
"Any last words, old man?",theon greyjoy
"Ghost, stay with us. Ghost!",jon snow
He's not a pet.,jon snow
Ghost is different.,jon snow
I thought you said you couldn't know wild things.,jon snow
We could do the same.,jon snow
My father always said I'm of the North.,jon snow
I wasn't joking.,jon snow
I'll gladly give my life.,jon snow
I do.,jon snow
Can you read?,tywin lannister
This letter detailing our infantry movements was meant for Lord Damon of House Marbrand. It was sent to Lord Marlyn of House Dormand.,tywin lannister
"Girl, fetch me the History of the Greater and the Lesser Houses. It's the one on this-",tywin lannister
My cupbearer can read better than you.,tywin lannister
To whom does House Dormand owe allegiance?,tywin lannister
"To the Starks of Winterfell! Who have twenty thousand men and my son! I judged you might be good for something more than brutalizing peasants. I see I overestimated you. If you ever put my son's life at risk again, I'll Leave us.",tywin lannister
"Put the book away, girl. Maybe you should devise our next battle plan while you're about it.",tywin lannister
Mmm. Give us the room.,tywin lannister
Clear all this.,tywin lannister
Lord Tywin.,petyr baelish
Baelish.,tywin lannister
Wine?,tywin lannister
Thank you.,petyr baelish
What news from the capital?,tywin lannister
I traveled here directly from Renly Baratheon's camp.,petyr baelish
"Ah, the late King Renly. Rather a short reign. Murdered by a woman, I hear.",tywin lannister
So they say. There has been talk of other forces at work. Dark forces.,petyr baelish
Here. Men love to blame demons when their grand plans unravel.,tywin lannister
It is my belief that a moment of chaos affords opportunities lost soon after.,petyr baelish
"You say that as if you were the first man alive to think it. Yes, a crisis is an opportunity. What other brilliant insights have you brought me today?",tywin lannister
"After the Lannisters and the Starks, the Tyrells command the largest host. Their lands are the most fertile in the Seven Kingdoms, feeding horses and soldiers.",petyr baelish
"Yes, yes, yes.",tywin lannister
The Tyrells have not yet declared for any of the surviving kings. Loras wants revenge. He blames Stannis for Renly's death. And Margaery-,petyr baelish
Wants to be queen.,tywin lannister
"Yes, she does.",petyr baelish
House Tyrell rebelled against the Iron Throne. Against my grandson.,tywin lannister
"They did. And perhaps that treason should be punished one day, after Stannis and Robb Stark are defeated.",petyr baelish
More wine for Lord Baelish.,tywin lannister
"If you will allow me to represent your family's interests, I believe that an advantageous agreement TYWIN",petyr baelish
They have.,petyr baelish
"Pardon, my lord.",arya stark
It's only wine.,petyr baelish
You would ride there yourself?,tywin lannister
"Tonight, with your leave.",petyr baelish
"I'll have an answer by nightfall. That'll be all, girl.",tywin lannister
And what else?,tywin lannister
"On your son Tyrion's directive, I met with Catelyn Stark.",petyr baelish
Why?,tywin lannister
He had an interesting proposal for her concerning her daughters.,petyr baelish
Hmm.,tywin lannister
A girl.,jon snow
We could question her.,jon snow
What's your name?,jon snow
I'm Jon Snow.,jon snow
"No. No, I'll do it.",jon snow
I'm as much a crow as they are.,jon snow
Can't. Someone might see the smoke.,jon snow
I'll find them.,jon snow
"One day I pray you love someone. I pray you love her so much, when you close your eyes, you see her face. I want that for you. I want you to know what it's like to love someone, to truly love someone. Before I take her from you.",cersei lannister
I saw you cry.,sansa stark
My little brother cried when I left Winterfell.,sansa stark
It seems a normal thing.,sansa stark
No.,sansa stark
Get the Prince back to the Keep now.,tyrion lannister
Move. Move!,tyrion lannister
Where's Sansa?,tyrion lannister
"Oh, you blind, bloody fool!",tyrion lannister
"We've had vicious kings and we've had idiot kings, but I don't know if we've ever been cursed with a vicious idiot for a king.",tyrion lannister
"I can, I am.",tyrion lannister
"They threw a cow pie at you, so you decided to kill them all? They're starving, you fool! All because of a war you started.",tyrion lannister
And now I've struck a king. Did my hand fall from my wrist? Where is the Stark girl?,tyrion lannister
"If she dies, you'll never get your Uncle Jaime back! You owe him quite a bit, you know.",tyrion lannister
Take some men and go and find the Stark girl.,tyrion lannister
Please! No! No!,sansa stark
"Are you hurt, my lady?",tyrion lannister
"Well done, Clegane.",tyrion lannister
He shouldn't make me wait.,daenerys targaryen
I already have a husband.,daenerys targaryen
And you are far too smart to think that I will succumb to flattery.,daenerys targaryen
"Thank you, my lord. You are a gracious host, but there is no servant alive that can bring me what I want.",daenerys targaryen
My birthright. The Seven Kingdoms of Westeros.,daenerys targaryen
I'm not asking you for the kingdoms. I'm asking you for ships.,daenerys targaryen
Whatever you grant me now will be repaid three times over when I retake the Iron Throne.,daenerys targaryen
"My father sat there, before he was murdered.",daenerys targaryen
I didn't come here to argue grammar.,daenerys targaryen
Not yet.,daenerys targaryen
There are many there that support my claim.,daenerys targaryen
I left when I was a baby.,daenerys targaryen
The people will rise to fight for their rightful queen when I return.,daenerys targaryen
"Do you know lllyrio Mopatis, Magister of Pentos? Yes, we've met.",daenerys targaryen
"For my wedding, he gave me three petrified dragon eggs. He believed The world believed that the ages had turned them to stone. How many centuries has it been since dragons roamed the skies? But I dreamt that if I carried those eggs into a great fire, they would hatch. When I stepped into the fire, my own people thought I was mad. But when the fire burned out, I was unhurt, the Mother of Dragons.",daenerys targaryen
Do you understand? I'm no ordinary woman. My dreams come true.,daenerys targaryen
"I am not your little princess. I am Daenerys Stormborn of the blood of Old Valyria, and I will take what is mine. With fire and blood, I will take it.",daenerys targaryen
Who taught you to read?,tywin lannister
"My father, my lord.",arya stark
"Hmm. I taught my son Jaime to read. The maester came to me one day, told me he wasn't learning. He couldn't make sense of the letters. He reversed them in his head. The maester said he'd heard tell of this affliction and that we simply must accept it. Ha! After that, I sat Jaime down for four hours every day until he learned. He hated me for it, for a time. For a long time. But he learned. Hmm. Where is your father? Is he alive? Who was he?",tywin lannister
A stonemason.,arya stark
A stonemason who could read? Hmm.,tywin lannister
He taught himself.,arya stark
Quite a man. What killed him?,tywin lannister
Loyalty.,arya stark
"You're a sharp little thing, aren't you?",tywin lannister
"Did... Forgive me, my lord. I shouldn't ask questions.",arya stark
No. But you've already begun.,tywin lannister
"Did you know your father, my lord?",arya stark
I did. I grew up with him. I watched him grow old.,tywin lannister
"He loved us. He was a good man, but a weak man. A weak man who nearly destroyed our house and name. I'm cold.",tywin lannister
"I'll fetch more wood for the fire, my lord.",arya stark
Mmm.,tywin lannister
"The armory, my lord.",arya stark
Lord Tywin sent me.,arya stark
Lord Tywin gave it to me.,arya stark
To take to the armory.,arya stark
Amory Lorch.,arya stark
Now!,arya stark
But he's going to tell Tywin. He's getting away. It has to be now.,arya stark
Guard!,tywin lannister
Quent.,robb stark
Lady Talisa.,robb stark
"It's hard to keep all the rules straight. But if I remember my lessons, a woman of noble birth is always called a lady. Unless she's a queen or a princess. I could find someone who knows.",robb stark
Because it's obvious.,robb stark
I'd call you a liar.,robb stark
"Better at amputations, I'm afraid.",robb stark
Quite a pretty spot.,robb stark
I couldn't really discuss troop movements with you.,robb stark
"Of course, a spy would deny being a spy.",robb stark
"Perhaps you'd join me... If you've got time, of course, for, well-",robb stark
Robb.,catelyn stark
"Mother. Mother, this is Lady Talisa. She's been helping with the wounded. She's been very... helpful.",robb stark
Lady Talisa.,catelyn stark
Lady Talisa...?,catelyn stark
"Maegyr? Forgive me, I do not know this name.",catelyn stark
I've missed you.,robb stark
"Yes, you look positively forlorn.",catelyn stark
"You surprised me, that's all. I didn't think I'd see you today.",robb stark
I wish that you were free to follow your heart.,catelyn stark
I know.,robb stark
You have inherited your father's responsibilities. I'm afraid they come at a cost. You are promised to another.,catelyn stark
A debt that must be paid.,catelyn stark
I haven't forgotten.,robb stark
We'll stop here. Too dark to go any farther today.,jon snow
There's no shelter anywhere.,jon snow
No fire.,jon snow
Yes.,jon snow
We start again at first light. Get some sleep.,jon snow
Stop moving.,jon snow
Stop it!,jon snow
You're still moving.,jon snow
This cannot be true.,robb stark
Why? Why would Theon-,robb stark
My brothers?,robb stark
"I told you, never trust a Greyjoy!",catelyn stark
I must go north at once.,robb stark
How can I call myself king if I can't hold my own castle? How can I ask men to follow me if I can't-,robb stark
Let me go and talk to Theon.,catelyn stark
There will be no talk. He will die for this.,robb stark
